   #	     Z	     Area 
   0	  6630	501345152 
   1	 72541	448445120 
   2	209100	371013312 
   3	416150	286222112 
   4	693646	207265024 
   5	  6630	495889248 
   6	 72541	449317120 
   7	209100	366296192 
   8	416150	287045376 
   9	693646	207480624 
  10	  6630	494003744 
  11	 72541	447777760 
  12	209100	367810432 
  13	416150	287099040 
  14	693646	208822976 
  15	  6630	499870432 
  16	 72541	450265216 
  17	209100	367868096 
  18	416150	288162624 
  19	693646	209275568 
  20	  6630	498683584 
  21	 72541	450500736 
  22	209100	369623424 
  23	416150	289999744 
  24	693646	210088144 
  25	  6630	500266080 
  26	 72541	452983616 
  27	209100	369595968 
  28	416150	289064672 
  29	693646	210659104 
  30	  6630	505762560 
  31	 72541	455106496 
  32	209100	374946592 
  33	416150	290359040 
  34	693646	211282752 
  35	  6630	501089760 
  36	 72541	456010432 
  37	209100	374815104 
  38	416150	290666400 
  39	693646	211674336 
  40	  6630	504663040 
  41	 72541	456576000 
  42	209100	376634368 
  43	416150	291047904 
  44	693646	211791968 
  45	  6630	505288704 
  46	 72541	456344160 
  47	209100	374921568 
  48	416150	291313120 
  49	693646	212334368 
  50	  6630	503382560 
  51	 72541	455284608 
  52	209100	377561120 
  53	416150	291401024 
  54	693646	212440592 
  55	  6630	503502816 
  56	 72541	454982560 
  57	209100	371528960 
  58	416150	291717792 
  59	693646	213463136 
  60	  6630	505402784 
  61	 72541	457416064 
  62	209100	379520576 
  63	416150	292672896 
  64	693646	213206976 
  65	  6630	508213952 
  66	 72541	455108800 
  67	209100	378617856 
  68	416150	292768896 
  69	693646	213602528 
  70	  6630	505367168 
  71	 72541	457131712 
  72	209100	379181664 
  73	416150	293477248 
  74	693646	213644320 
  75	  6630	505773152 
  76	 72541	457161408 
  77	209100	374049344 
  78	416150	292562208 
  79	693646	214140832 
  80	  6630	508251968 
  81	 72541	457788192 
  82	209100	380513600 
  83	416150	293771264 
  84	693646	214605344 
  85	  6630	511424256 
  86	 72541	456456544 
  87	209100	380701824 
  88	416150	294028640 
  89	693646	214269776 
  90	  6630	510060736 
  91	 72541	458935904 
  92	209100	375676000 
  93	416150	294816064 
  94	693646	214154768 
  95	  6630	506398752 
  96	 72541	459789952 
  97	209100	374312096 
  98	416150	295355904 
  99	693646	214705392 
 100	  6630	510474752 
 101	 72541	461084096 
 102	209100	381613984 
 103	416150	294693440 
 104	693646	215203792 
 105	  6630	510355584 
 106	 72541	461271296 
 107	209100	382776640 
 108	416150	294230464 
 109	693646	215071072 
 110	  6630	511496128 
 111	 72541	459572160 
 112	209100	380748512 
 113	416150	295005760 
 114	693646	215379728 
 115	  6630	508549408 
 116	 72541	460701568 
 117	209100	382727232 
 118	416150	294594176 
 119	693646	215507264 
 120	  6630	510657312 
 121	 72541	459926720 
 122	209100	375075456 
 123	416150	294874368 
 124	693646	215909536 
 125	  6630	510732960 
 126	 72541	457572800 
 127	209100	383287072 
 128	416150	294841248 
 129	693646	216060672 
 130	  6630	511919104 
 131	 72541	460711232 
 132	209100	383148480 
 133	416150	295271968 
 134	693646	216126864 
 135	  6630	511464480 
 136	 72541	461082432 
 137	209100	382532512 
 138	416150	295495680 
 139	693646	216294560 
 140	  6630	513378272 
 141	 72541	461174528 
 142	209100	384345792 
 143	416150	295592640 
 144	693646	216418784 
 145	  6630	512567680 
 146	 72541	463729824 
 147	209100	384165408 
 148	416150	296062496 
 149	693646	216044560 
 150	  6630	511889152 
 151	 72541	462953280 
 152	209100	382599168 
 153	416150	295044416 
 154	693646	216582736 
 155	  6630	515141216 
 156	 72541	464594752 
 157	209100	384932096 
 158	416150	295744992 
 159	693646	216269312 
 160	  6630	512185056 
 161	 72541	465366496 
 162	209100	386281664 
 163	416150	295834656 
 164	693646	216838464 
 165	  6630	514579136 
 166	 72541	460614912 
 167	209100	384523008 
 168	416150	295981024 
 169	693646	217009760 
 170	  6630	513423168 
 171	 72541	465757984 
 172	209100	385145056 
 173	416150	296753984 
 174	693646	217244224 
 175	  6630	513861248 
 176	 72541	462088416 
 177	209100	386111072 
 178	416150	296702880 
 179	693646	218608800 
 180	  6630	513539776 
 181	 72541	464692032 
 182	209100	383283008 
 183	416150	296404352 
 184	693646	217364064 
 185	  6630	515511680 
 186	 72541	462695648 
 187	209100	386647616 
 188	416150	297780800 
 189	693646	217236960 
 190	  6630	512211232 
 191	 72541	464726304 
 192	209100	383498784 
 193	416150	295585920 
 194	693646	217968784 
 195	  6630	513868672 
 196	 72541	465995968 
 197	209100	385892192 
 198	416150	297136416 
 199	693646	218083568 
 200	  6630	514522944 
 201	 72541	466975808 
 202	209100	386322048 
 203	416150	297185024 
 204	693646	218734944 
 205	  6630	515047136 
 206	 72541	465898624 
 207	209100	387018624 
 208	416150	297728320 
 209	693646	218379488 
 210	  6630	510809408 
 211	 72541	464219680 
 212	209100	386068032 
 213	416150	298198464 
 214	693646	218916432 
 215	  6630	512980672 
 216	 72541	464966880 
 217	209100	385942976 
 218	416150	297667200 
 219	693646	218291232 
 220	  6630	513876800 
 221	 72541	466534080 
 222	209100	385912800 
 223	416150	298126176 
 224	693646	218838640 
 225	  6630	512617760 
 226	 72541	462731904 
 227	209100	386058560 
 228	416150	298114688 
 229	693646	219509760 
 230	  6630	516529792 
 231	 72541	464318592 
 232	209100	386628672 
 233	416150	298207360 
 234	693646	219305360 
 235	  6630	513710752 
 236	 72541	463609920 
