Z	Area
693646	5,67E+07
6630	1,75E+08
72541	1,45E+08
209100	1,08E+08
416150	7,88E+07
693646	5,62E+07
6630	1,76E+08
72541	1,45E+08
209100	1,08E+08
416150	7,90E+07
693646	5,67E+07
6630	1,75E+08
72541	1,45E+08
209100	1,08E+08
416150	7,90E+07
693646	5,66E+07
6630	1,75E+08
72541	1,45E+08
209100	1,08E+08
416150	7,89E+07
693646	5,67E+07
6630	1,75E+08
72541	1,45E+08
209100	1,08E+08
416150	7,91E+07
693646	5,66E+07
6630	1,76E+08
72541	1,45E+08
209100	1,08E+08
416150	7,90E+07
693646	5,69E+07
6630	1,75E+08
72541	1,45E+08
209100	1,08E+08
416150	7,91E+07
693646	5,68E+07
6630	1,76E+08
72541	1,45E+08
209100	1,08E+08
416150	7,89E+07
693646	5,69E+07
6630	1,75E+08
72541	1,45E+08
209100	1,08E+08
416150	7,91E+07
693646	5,67E+07
6630	1,76E+08
72541	1,45E+08
209100	1,08E+08
416150	7,90E+07
693646	5,68E+07
6630	1,76E+08
72541	1,45E+08
209100	1,08E+08
416150	7,91E+07
693646	5,67E+07
6630	1,76E+08
72541	1,46E+08
209100	1,08E+08
416150	7,91E+07
693646	5,68E+07
6630	1,77E+08
72541	1,46E+08
209100	1,08E+08
416150	7,91E+07
693646	5,68E+07
6630	1,76E+08
72541	1,46E+08
209100	1,08E+08
416150	7,90E+07
693646	5,68E+07
6630	1,77E+08
72541	1,46E+08
209100	1,08E+08
416150	7,91E+07
693646	5,68E+07
6630	1,77E+08
72541	1,46E+08
209100	1,08E+08
416150	7,91E+07
693646	5,69E+07
6630	1,77E+08
72541	1,46E+08
209100	1,08E+08
416150	7,91E+07
693646	5,68E+07
6630	1,77E+08
72541	1,46E+08
209100	1,08E+08
416150	7,92E+07
693646	5,67E+07
6630	1,77E+08
72541	1,46E+08
209100	1,08E+08
416150	7,92E+07
693646	5,69E+07
6630	1,78E+08
72541	1,46E+08
209100	1,08E+08
416150	7,91E+07
693646	5,70E+07
6630	1,78E+08
72541	1,46E+08
209100	1,08E+08
416150	7,93E+07
693646	5,68E+07
6630	1,78E+08
72541	1,47E+08
209100	1,08E+08
416150	7,93E+07
693646	5,69E+07
6630	1,78E+08
72541	1,47E+08
209100	1,09E+08
416150	7,93E+07
693646	5,70E+07
6630	1,78E+08
72541	1,47E+08
209100	1,09E+08
416150	7,95E+07
693646	5,70E+07
6630	1,78E+08
72541	1,47E+08
209100	1,09E+08
416150	7,93E+07
693646	5,69E+07
6630	1,78E+08
72541	1,47E+08
209100	1,09E+08
416150	7,92E+07
693646	5,70E+07
6630	1,78E+08
72541	1,47E+08
209100	1,09E+08
416150	7,93E+07
693646	5,69E+07
6630	1,79E+08
72541	1,47E+08
209100	1,09E+08
416150	7,93E+07
693646	5,69E+07
6630	1,78E+08
72541	1,47E+08
209100	1,09E+08
416150	7,93E+07
693646	5,70E+07
6630	1,78E+08
72541	1,47E+08
209100	1,09E+08
416150	7,94E+07
693646	5,69E+07
6630	1,79E+08
72541	1,47E+08
209100	1,09E+08
416150	7,93E+07
693646	5,71E+07
6630	1,79E+08
72541	1,47E+08
209100	1,09E+08
416150	7,94E+07
693646	5,70E+07
6630	1,78E+08
72541	1,47E+08
209100	1,09E+08
416150	7,92E+07
693646	5,69E+07
6630	1,79E+08
72541	1,48E+08
209100	1,09E+08
416150	7,92E+07
693646	5,71E+07
6630	1,79E+08
72541	1,47E+08
209100	1,09E+08
416150	7,95E+07
693646	5,71E+07
6630	1,79E+08
72541	1,48E+08
209100	1,09E+08
416150	7,94E+07
693646	5,71E+07
6630	1,79E+08
72541	1,47E+08
209100	1,09E+08
416150	7,95E+07
693646	5,73E+07
6630	1,79E+08
72541	1,48E+08
209100	1,09E+08
416150	7,94E+07
693646	5,72E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,96E+07
693646	5,71E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,96E+07
693646	5,71E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,94E+07
693646	5,71E+07
6630	1,79E+08
72541	1,48E+08
209100	1,09E+08
416150	7,94E+07
693646	5,72E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,92E+07
693646	5,71E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,97E+07
693646	5,71E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,96E+07
693646	5,71E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,96E+07
693646	5,72E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,93E+07
693646	5,72E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,95E+07
693646	5,70E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,96E+07
693646	5,72E+07
6630	1,80E+08
72541	1,48E+08
209100	1,09E+08
416150	7,96E+07
693646	5,73E+07
6630	1,80E+08
72541	1,49E+08
209100	1,10E+08
416150	7,96E+07
693646	5,72E+07
6630	1,81E+08
72541	1,48E+08
209100	1,09E+08
416150	7,96E+07
693646	5,72E+07
6630	1,81E+08
72541	1,49E+08
209100	1,09E+08
416150	7,96E+07
693646	5,72E+07
6630	1,81E+08
72541	1,49E+08
209100	1,09E+08
416150	7,96E+07
693646	5,72E+07
6630	1,81E+08
72541	1,48E+08
209100	1,10E+08
416150	7,96E+07
693646	5,72E+07
6630	1,81E+08
72541	1,48E+08
209100	1,09E+08
416150	7,97E+07
693646	5,72E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,97E+07
693646	5,71E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,94E+07
693646	5,72E+07
6630	1,81E+08
72541	1,48E+08
209100	1,10E+08
416150	7,96E+07
693646	5,73E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,98E+07
693646	5,73E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,97E+07
693646	5,74E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,98E+07
693646	5,71E+07
6630	1,81E+08
72541	1,49E+08
209100	1,09E+08
416150	7,97E+07
693646	5,72E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,96E+07
693646	5,72E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,97E+07
693646	5,72E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,97E+07
693646	5,72E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,94E+07
693646	5,72E+07
6630	1,82E+08
72541	1,49E+08
209100	1,10E+08
416150	7,97E+07
693646	5,74E+07
6630	1,81E+08
72541	1,49E+08
209100	1,10E+08
416150	7,96E+07
693646	5,73E+07
6630	1,82E+08
72541	1,49E+08
209100	1,10E+08
416150	7,96E+07
693646	5,73E+07
6630	1,82E+08
72541	1,49E+08
209100	1,10E+08
416150	7,96E+07
693646	5,72E+07
6630	1,82E+08
72541	1,49E+08
209100	1,10E+08
416150	7,98E+07
693646	5,73E+07
6630	1,82E+08
72541	1,49E+08
209100	1,10E+08
416150	7,97E+07
693646	5,74E+07
6630	1,82E+08
72541	1,49E+08
209100	1,10E+08
416150	7,99E+07
693646	5,73E+07
6630	1,82E+08
72541	1,49E+08
209100	1,10E+08
416150	7,98E+07
693646	5,73E+07
6630	1,82E+08
72541	1,50E+08
209100	1,10E+08
416150	7,99E+07
693646	5,73E+07
6630	1,82E+08
72541	1,50E+08
209100	1,10E+08
416150	7,98E+07
693646	5,74E+07
6630	1,82E+08
72541	1,50E+08
209100	1,10E+08
416150	7,99E+07
693646	5,75E+07
6630	1,82E+08
72541	1,50E+08
209100	1,10E+08
416150	8,01E+07
693646	5,73E+07
6630	1,82E+08
72541	1,50E+08
209100	1,10E+08
416150	8,00E+07
693646	5,74E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	7,98E+07
693646	5,74E+07
6630	1,82E+08
72541	1,50E+08
209100	1,10E+08
416150	8,01E+07
693646	5,73E+07
6630	1,82E+08
72541	1,50E+08
209100	1,10E+08
416150	7,97E+07
693646	5,75E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,00E+07
693646	5,74E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	7,98E+07
693646	5,74E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,02E+07
693646	5,74E+07
6630	1,82E+08
72541	1,50E+08
209100	1,11E+08
416150	7,99E+07
693646	5,74E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	7,99E+07
693646	5,75E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,00E+07
693646	5,75E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,00E+07
693646	5,74E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	7,99E+07
693646	5,73E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,01E+07
693646	5,73E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,01E+07
693646	5,77E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,03E+07
693646	5,75E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,00E+07
693646	5,75E+07
6630	1,84E+08
72541	1,50E+08
209100	1,10E+08
416150	8,01E+07
693646	5,75E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,00E+07
693646	5,75E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,01E+07
693646	5,74E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,02E+07
693646	5,73E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,01E+07
693646	5,75E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,01E+07
693646	5,75E+07
6630	1,83E+08
72541	1,50E+08
209100	1,10E+08
416150	8,01E+07
693646	5,75E+07
6630	1,83E+08
72541	1,51E+08
209100	1,10E+08
416150	8,00E+07
693646	5,75E+07
6630	1,84E+08
72541	1,51E+08
209100	1,10E+08
416150	8,01E+07
693646	5,74E+07
6630	1,83E+08
72541	1,51E+08
209100	1,10E+08
416150	8,01E+07
693646	5,74E+07
6630	1,84E+08
72541	1,51E+08
209100	1,10E+08
416150	7,96E+07
693646	5,75E+07
6630	1,83E+08
72541	1,51E+08
209100	1,10E+08
416150	8,02E+07
693646	5,74E+07
6630	1,84E+08
72541	1,51E+08
209100	1,10E+08
416150	8,01E+07
693646	5,76E+07
6630	1,84E+08
72541	1,50E+08
209100	1,10E+08
416150	7,99E+07
693646	5,73E+07
6630	1,84E+08
72541	1,51E+08
209100	1,10E+08
416150	8,01E+07
693646	5,75E+07
6630	1,84E+08
72541	1,51E+08
209100	1,10E+08
416150	8,00E+07
693646	5,75E+07
6630	1,84E+08
72541	1,50E+08
209100	1,10E+08
416150	8,00E+07
693646	5,75E+07
6630	1,84E+08
72541	1,50E+08
209100	1,10E+08
416150	8,02E+07
693646	5,75E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,03E+07
693646	5,75E+07
6630	1,84E+08
72541	1,51E+08
209100	1,10E+08
416150	8,01E+07
693646	5,75E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	7,99E+07
693646	5,75E+07
6630	1,84E+08
72541	1,51E+08
209100	1,10E+08
416150	8,01E+07
693646	5,75E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,00E+07
693646	5,78E+07
6630	1,84E+08
72541	1,51E+08
209100	1,10E+08
416150	8,00E+07
693646	5,76E+07
6630	1,84E+08
72541	1,51E+08
209100	1,10E+08
416150	8,02E+07
693646	5,74E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,04E+07
693646	5,78E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,02E+07
693646	5,76E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,02E+07
693646	5,76E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,02E+07
693646	5,76E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,03E+07
693646	5,76E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,02E+07
693646	5,76E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,03E+07
693646	5,75E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,00E+07
693646	5,78E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,01E+07
693646	5,76E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,02E+07
693646	5,76E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,05E+07
693646	5,76E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,03E+07
693646	5,77E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,01E+07
693646	5,78E+07
6630	1,85E+08
72541	1,52E+08
209100	1,11E+08
416150	8,01E+07
693646	5,76E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,01E+07
693646	5,76E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,01E+07
693646	5,77E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,02E+07
693646	5,77E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,02E+07
693646	5,76E+07
6630	1,85E+08
72541	1,52E+08
209100	1,11E+08
416150	8,02E+07
693646	5,76E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,03E+07
693646	5,74E+07
6630	1,85E+08
72541	1,52E+08
209100	1,11E+08
416150	8,02E+07
693646	5,76E+07
6630	1,84E+08
72541	1,51E+08
209100	1,11E+08
416150	8,05E+07
693646	5,77E+07
6630	1,85E+08
72541	1,51E+08
209100	1,11E+08
416150	8,00E+07
693646	5,74E+07
6630	1,85E+08
72541	1,51E+08
209100	1,10E+08
416150	7,96E+07
693646	5,70E+07
6630	1,85E+08
72541	1,51E+08
